Province,Division,District,Tehsil,Projected Population,Pakka,Semi_Pakka,Kacha,Built_Less_Than_7_Years,Built_7_to_12_Years,Built_12_to_22_Years,Built_22_to_52_Years,Built_Over_52_Years
SINDH,HYDERABAD DIVISION,TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,255104,14277,7547,30668,12862,12220,9711,5198,1673
SINDH,HYDERABAD DIVISION,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,291432,17859,7418,27588,12598,14313,13936,6128,898
SINDH,HYDERABAD DIVISION,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,461110,44427,11449,29738,15392,18146,23594,13352,3951
SINDH,HYDERABAD DIVISION,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,269970,11425,5043,34662,11807,14983,12367,5389,1793
SINDH,HYDERABAD DIVISION,TANDO MUHAMMAD KHAN DISTRICT,TANDO GHULAM HYDER TALUKA,225859,8649,4134,28825,11711,14630,9665,2868,134
SINDH,HYDERABAD DIVISION,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN TALUKA,297515,24512,7342,25662,8466,13463,16683,10971,2414
SINDH,HYDERABAD DIVISION,THATTA DISTRICT,GHORABARI TALUKA,217395,6359,1983,32581,9834,14006,10617,3245,593
SINDH,HYDERABAD DIVISION,THATTA DISTRICT,KETI BUNDER TALUKA,69088,1191,873,11495,2859,3719,3382,1731,725
SINDH,HYDERABAD DIVISION,THATTA DISTRICT,MIRPUR SAKRO TALUKA,411007,26864,4061,41317,18207,20038,16984,8833,2609
SINDH,HYDERABAD DIVISION,THATTA DISTRICT,THATTA TALUKA,486304,41390,8562,37950,20452,20129,24095,12047,3676
SINDH,KARACHI DIVISION,KARACHI CENTRAL DISTRICT,GULBERG SUB-DIVISION,670725,104570,1919,1268,3993,8057,26773,49922,16856
SINDH,KARACHI DIVISION,KARACHI CENTRAL DISTRICT,LIAQUATABAD SUB-DIVISION,598575,96406,1214,686,5501,11977,23831,43331,12175
SINDH,KARACHI DIVISION,KARACHI CENTRAL DISTRICT,NAZIMABAD SUB-DIVISION,625934,94023,2684,460,5446,10324,26105,38568,14941
SINDH,KARACHI DIVISION,KARACHI CENTRAL DISTRICT,NEW KARACHI SUB-DIVISION,1274012,186816,11226,1110,8580,23130,70360,83297,8458
SINDH,KARACHI DIVISION,KARACHI CENTRAL DISTRICT,NORTH NAZIMABAD SUB-DIVISION,1005967,149787,4086,1841,7396,12068,35513,86155,11687
SINDH,KARACHI DIVISION,KARACHI EAST DISTRICT,FEROZABAD SUB-DIVISION,1274069,175088,6067,2019,9499,21885,60314,69061,17484
SINDH,KARACHI DIVISION,KARACHI EAST DISTRICT,GULSHAN-E-IQBAL SUB-DIVISION,1063712,172885,5962,4878,10445,21125,51970,82657,8792
SINDH,KARACHI DIVISION,KARACHI EAST DISTRICT,GULZAR-E-HIJRI SUB-DIVISION,1222420,173168,20275,9632,32571,51785,65424,33026,1501
SINDH,KARACHI DIVISION,KARACHI EAST DISTRICT,JAMSHED QUARTERS SUB-DIVISION,716943,104082,1592,919,4076,11790,30333,45554,12920
SINDH,KARACHI DIVISION,KARACHI SOUTH DISTRICT,ARAM BAGH SUB-DIVISION,259257,43709,1389,225,1010,1037,4038,22676,15138
SINDH,KARACHI DIVISION,KARACHI SOUTH DISTRICT,CIVIL LINES SUB-DIVISION,525105,93233,1218,1648,6096,13621,32654,34753,7424
SINDH,KARACHI DIVISION,KARACHI SOUTH DISTRICT,GARDEN SUB-DIVISION,549519,88625,1756,829,3928,4390,14789,44870,20250
SINDH,KARACHI DIVISION,KARACHI SOUTH DISTRICT,LYARI SUB-DIVISION,1038100,163565,5374,980,9592,16895,45979,74208,17294
SINDH,KARACHI DIVISION,KARACHI SOUTH DISTRICT,SADDAR SUB-DIVISION,174164,27855,787,152,1244,1423,5598,14422,5516
SINDH,KARACHI DIVISION,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,1182223,170477,26981,7086,41180,56744,59752,26814,1711
SINDH,KARACHI DIVISION,KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,1093651,165952,9740,798,15441,31275,66869,53407,5030
SINDH,KARACHI DIVISION,KARACHI WEST DISTRICT,ORANGI SUB-DIVISION,652359,89724,6162,406,7359,12021,32665,35936,5983
SINDH,KARACHI DIVISION,KEAMARI DISTRICT,BALDIA SUB-DIVISION,1036483,137161,12637,898,17818,31361,55329,36476,4552
SINDH,KARACHI DIVISION,KEAMARI DISTRICT,KEAMARI SUB-DIVISION,493048,64589,4138,886,3864,9610,25728,24284,4044
SINDH,KARACHI DIVISION,KEAMARI DISTRICT,MAURIPUR SUB-DIVISION,238171,33676,2796,1729,3791,7541,13947,9960,1299
SINDH,KARACHI DIVISION,KEAMARI DISTRICT,SITE SUB-DIVISION,490809,62269,2519,743,3646,4969,19898,32101,3985
SINDH,KARACHI DIVISION,KORANGI DISTRICT,KORANGI SUB-DIVISION,1489589,199376,7579,3247,17910,34620,76043,68074,7324
SINDH,KARACHI DIVISION,KORANGI DISTRICT,LANDHI SUB-DIVISION,744569,113522,3277,1189,7338,12453,37325,45401,11296
SINDH,KARACHI DIVISION,KORANGI DISTRICT,MODEL COLONY SUB-DIVISION,482823,74462,1910,667,3641,6764,21293,37634,6396
SINDH,KARACHI DIVISION,KORANGI DISTRICT,SHAH FAISAL SUB-DIVISION,701511,91561,1915,1115,4247,8205,22128,48549,9643
SINDH,KARACHI DIVISION,MALIR DISTRICT,AIRPORT SUB-DIVISION,272721,41827,1181,532,5946,9679,14416,10140,1680
SINDH,KARACHI DIVISION,MALIR DISTRICT,BIN QASIM SUB-DIVISION,352906,54133,2885,4184,11311,12299,14881,16275,1425
SINDH,KARACHI DIVISION,MALIR DISTRICT,GADAP SUB-DIVISION,109506,17687,896,3790,4794,7088,5844,3668,495
SINDH,KARACHI DIVISION,MALIR DISTRICT,IBRAHIM HYDRI SUB-DIVISION,1458043,201157,14400,4653,31237,51792,70431,48295,6612
SINDH,KARACHI DIVISION,MALIR DISTRICT,MURAD MEMON SUB-DIVISION,411968,69298,4597,2699,8002,14111,23085,23419,5582
SINDH,KARACHI DIVISION,MALIR DISTRICT,SHAH MUREED SUB-DIVISION,39329,6100,722,1501,1133,2103,3149,1335,387
SINDH,LARKANA DIVISION,JACOBABAD DISTRICT,GARHI KHAIRO TALUKA,211250,6468,7311,23689,10443,6908,4578,1697,226
SINDH,LARKANA DIVISION,JACOBABAD DISTRICT,JACOBABAD TALUKA,489223,31050,12397,27746,14811,15783,23984,10403,1549
SINDH,LARKANA DIVISION,JACOBABAD DISTRICT,THUL TALUKA,582671,26358,17131,60834,20712,24188,31321,8662,1865
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,490691,31398,18763,36362,11995,17478,25630,11482,2598
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,MIRO KHAN TALUKA,199407,9665,6761,16305,7162,7857,7948,2614,366
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,NASIRABAD TALUKA,190934,11462,8260,14512,5296,7686,8575,3255,494
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,QUBO SAEED KHAN TALUKA,108531,4082,4452,14853,7114,3029,2850,751,151
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,SHAHDAD KOT TALUKA,245991,19379,8077,16325,6719,8606,12480,7428,1564
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,SUJAWAL JUNEJO TALUKA,142768,6226,4966,14600,4948,5168,6351,3079,754
SINDH,LARKANA DIVISION,KAMBAR SHAHDAD KOT DISTRICT,WARAH TALUKA,277242,16475,10932,29622,12226,9632,12554,5096,694
SINDH,LARKANA DIVISION,KASHMORE DISTRICT,KANDHKOT TALUKA,445448,23824,11549,38076,18223,17950,17356,8569,2817
SINDH,LARKANA DIVISION,KASHMORE DISTRICT,KASHMORE TALUKA,532888,24507,12105,53581,23561,22081,17872,7914,2294
SINDH,LARKANA DIVISION,KASHMORE DISTRICT,TANGWANI TALUKA,370227,15689,10443,42290,19741,14453,8426,3334,1135
SINDH,LARKANA DIVISION,LARKANA DISTRICT,BAKRANI TALUKA,300834,17189,8954,26255,8161,12559,15571,7482,1105
SINDH,LARKANA DIVISION,LARKANA DISTRICT,DOKRI TALUKA,281300,16474,10997,23812,8461,9186,13722,6792,722
SINDH,LARKANA DIVISION,LARKANA DISTRICT,LARKANA TALUKA,955030,102001,27069,37019,24188,39780,52710,26665,5118
SINDH,LARKANA DIVISION,LARKANA DISTRICT,RATODERO TALUKA,413023,26984,14341,34653,9901,15922,23252,13951,2061
SINDH,LARKANA DIVISION,SHIKARPUR DISTRICT,GARHI YASIN TALUKA,364244,16183,11138,38240,12188,14033,15519,9440,1797
SINDH,LARKANA DIVISION,SHIKARPUR DISTRICT,KHANPUR TALUKA,361982,9039,9159,27237,9379,13481,12811,4371,1713
SINDH,LARKANA DIVISION,SHIKARPUR DISTRICT,LAKHI TALUKA,328399,13009,9201,23606,6087,8112,14162,10597,1975
SINDH,LARKANA DIVISION,SHIKARPUR DISTRICT,SHIKARPUR TALUKA,460464,31995,11910,28417,13339,13856,20873,12169,4614
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,DIGRI TALUKA,256365,16726,8580,22845,11813,11148,10157,4608,1138
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,188131,8839,6213,19014,8836,10782,7430,3500,707
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,JHUDO TALUKA,251673,14248,4271,25834,13747,10598,9531,4452,953
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,KOT GHULAM MUHAMMAD TALUKA,338684,12668,9853,41298,24177,14738,8810,4825,1058
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,MIRPUR KHAS TALUKA,314352,43347,4878,1894,2955,6705,14435,20400,4493
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,SHUJAABAD TALUKA,202897,9827,8645,20127,10365,9068,9358,3584,376
SINDH,MIRPUR KHAS DIVISION,MIRPUR KHAS DISTRICT,SINDHRI TALUKA,285003,11093,7634,39454,18160,13094,8435,3457,795
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,CHACHRO TALUKA,406298,8644,3472,53990,12033,16591,17385,9997,4633
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,DAHLI TALUKA,356315,6835,4184,45768,13237,15104,10749,6317,3285
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,DIPLO TALUKA,178104,12922,3614,16789,5274,11457,9783,3859,741
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,ISLAMKOT TALUKA,290176,10281,2430,40618,7873,14917,14839,8319,5738
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,KALOI TALUKA,141721,7926,2237,15757,6017,8986,6256,1508,1101
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,MITHI TALUKA,261297,16977,3195,27233,9912,15311,13290,5018,1875
SINDH,MIRPUR KHAS DIVISION,THARPARKAR DISTRICT,NAGAR PARKAR TALUKA,309358,5026,2065,49853,10658,15370,13138,6903,7884
SINDH,MIRPUR KHAS DIVISION,UMER KOT DISTRICT,KUNRI TALUKA,258827,13840,4123,28195,15206,11543,9390,4539,984
SINDH,MIRPUR KHAS DIVISION,UMER KOT DISTRICT,PITHORO TALUKA,142371,5281,2328,19603,8950,7868,3876,1902,761
SINDH,MIRPUR KHAS DIVISION,UMER KOT DISTRICT,SAMARO TALUKA,201145,7298,4607,26599,14452,7679,4265,2142,623
SINDH,MIRPUR KHAS DIVISION,UMER KOT DISTRICT,UMER KOT TALUKA,663518,41839,12597,73772,34921,35120,26641,11336,2847
SINDH,SHAHEED BENAZIRABAD DIVISION,NAUSHAHRO FEROZE DISTRICT,BHIRIA TALUKA,360562,27954,15041,24046,12162,13798,16773,7794,1895
SINDH,SHAHEED BENAZIRABAD DIVISION,NAUSHAHRO FEROZE DISTRICT,KANDIARO TALUKA,389617,22638,20748,24812,10293,14924,20695,8864,1623
SINDH,SHAHEED BENAZIRABAD DIVISION,NAUSHAHRO FEROZE DISTRICT,MEHRABPUR TALUKA,298975,23647,11937,18307,10755,11795,11758,5947,2280
SINDH,SHAHEED BENAZIRABAD DIVISION,NAUSHAHRO FEROZE DISTRICT,MORO TALUKA,446014,30178,17543,32459,12825,19111,24851,12196,2574
SINDH,SHAHEED BENAZIRABAD DIVISION,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE TALUKA,446283,35699,15530,28627,13367,18535,21391,11738,2429
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,187535,8308,4361,20167,12441,9075,6289,2540,267
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,KHIPRO TALUKA,400780,19058,7366,46626,23699,20136,13930,5074,1311
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,SANGHAR TALUKA,527343,27976,11765,50314,19696,24278,20949,10919,3822
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,SHAHDADPUR TALUKA,573940,45413,14675,32200,13746,21901,31690,17560,1652
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,SINJHORO TALUKA,387528,20622,9562,33384,11193,17583,19838,9234,1789
SINDH,SHAHEED BENAZIRABAD DIVISION,SANGHAR DISTRICT,TANDO ADAM TALUKA,445050,37542,11346,25192,12131,14272,20034,17363,3589
SINDH,SHAHEED BENAZIRABAD DIVISION,SHAHEED BENAZIRABAD DISTRICT,DAUR TALUKA,581988,33568,18389,59550,26236,26145,23045,7506,903
SINDH,SHAHEED BENAZIRABAD DIVISION,SHAHEED BENAZIRABAD DISTRICT,KAZI AHMED TALUKA,440208,26254,16137,38705,17551,21078,19105,6558,1049
SINDH,SHAHEED BENAZIRABAD DIVISION,SHAHEED BENAZIRABAD DISTRICT,NAWABSHAH TALUKA,526575,55577,11031,17870,14211,19305,24795,17576,3587
SINDH,SHAHEED BENAZIRABAD DIVISION,SHAHEED BENAZIRABAD DISTRICT,SAKRAND TALUKA,467180,33700,16334,37207,16759,20838,24191,11395,2559
SINDH,SUKKUR DIVISION,GHOTKI DISTRICT,DAHARKI TALUKA,366272,26517,10791,27854,12596,16817,19310,8938,1289
SINDH,SUKKUR DIVISION,GHOTKI DISTRICT,GHOTKI TALUKA,591180,55071,18816,29648,15401,28579,36822,15133,2029
SINDH,SUKKUR DIVISION,GHOTKI DISTRICT,KHANGARH TALUKA,177392,9915,6026,17513,6384,9341,9777,4949,612
SINDH,SUKKUR DIVISION,GHOTKI DISTRICT,MIRPUR MATHELO TALUKA,383205,26886,9306,34197,10867,19235,23552,9055,2641
SINDH,SUKKUR DIVISION,GHOTKI DISTRICT,UBAURO TALUKA,406245,29778,12580,28048,9442,20856,25142,8910,1473
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,265847,14174,10072,30327,14146,10772,9463,4588,1188
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,GAMBAT TALUKA,312703,17098,9530,24615,9379,11515,13430,7651,1429
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,508442,51655,14268,26838,13741,18238,27888,18836,2938
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,KINGRI TALUKA,404603,22088,11320,29408,8407,12042,19522,12982,3247
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,KOT DIJI TALUKA,421711,27849,12969,31257,14054,12825,15680,8138,2554
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,MIRWAH TALUKA,414872,28140,15740,34186,18608,15456,15278,5799,1345
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,NARA TALUKA,190126,6428,4404,25687,14033,7703,4435,1996,1137
SINDH,SUKKUR DIVISION,KHAIRPUR DISTRICT,SOBHO DERO TALUKA,320388,20703,11867,20125,10419,10972,13583,7266,1072
SINDH,SUKKUR DIVISION,SUKKUR DISTRICT,NEW SUKKUR TALUKA,389242,34699,9092,10541,10066,12293,17792,9216,1054
SINDH,SUKKUR DIVISION,SUKKUR DISTRICT,PANO AQIL TALUKA,484282,45804,15884,29472,16007,24106,27495,12453,3459
SINDH,SUKKUR DIVISION,SUKKUR DISTRICT,ROHRI TALUKA,460648,27104,11328,28219,11692,12765,19579,12847,2221
SINDH,SUKKUR DIVISION,SUKKUR DISTRICT,SALEHPAT TALUKA,150531,5395,5247,18444,10976,6852,3398,1028,904
SINDH,SUKKUR DIVISION,SUKKUR DISTRICT,SUKKUR CITY TALUKA,291733,36535,2723,961,1374,4215,12107,17489,4343
