layer,workspace,store,title,geometry,crs,features,fields,types
district_Gujranwala,infra_portal,district_Gujranwala,district_Gujranwala,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Gujrat,infra_portal,district_Gujrat,district_Gujrat,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Gupis-Yasin,infra_portal,district_Gupis-Yasin,district_Gupis-Yasin,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Gwadar,infra_portal,district_Gwadar,district_Gwadar,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hafizabad,infra_portal,district_Hafizabad,district_Hafizabad,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hangu,infra_portal,district_Hangu,district_Hangu,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Haripur,infra_portal,district_Haripur,district_Haripur,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Harnai,infra_portal,district_Harnai,district_Harnai,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hattian,infra_portal,district_Hattian,district_Hattian,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Haveli,infra_portal,district_Haveli,district_Haveli,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hub,infra_portal,district_Hub,district_Hub,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hunza,infra_portal,district_Hunza,district_Hunza,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Hyderabad,infra_portal,district_Hyderabad,district_Hyderabad,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Indian Illegally Occupied Jammu Kashmir,infra_portal,district_Indian Illegally Occupied Jammu Kashmir,district_Indian Illegally Occupied Jammu Kashmir,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Islamabad,infra_portal,district_Islamabad,district_Islamabad,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jacobabad,infra_portal,district_Jacobabad,district_Jacobabad,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jaffarabad,infra_portal,district_Jaffarabad,district_Jaffarabad,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jamshoro,infra_portal,district_Jamshoro,district_Jamshoro,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jhal Magsi,infra_portal,district_Jhal Magsi,district_Jhal Magsi,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jhang,infra_portal,district_Jhang,district_Jhang,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Jhelum,infra_portal,district_Jhelum,district_Jhelum,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kachhi,infra_portal,district_Kachhi,district_Kachhi,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kalat,infra_portal,district_Kalat,district_Kalat,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Karak,infra_portal,district_Karak,district_Karak,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kashmore,infra_portal,district_Kashmore,district_Kashmore,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
