scenario,none,low,moderate,high,very_high
event_2006,366803,11758,718,87,5
event_2010,318231,45802,10124,3758,1456
design_T5,360877,16605,1586,268,35
design_T10,352471,23769,2458,552,121
design_T25,339357,33948,4497,1266,303
design_T50,325929,44903,6267,1820,452
design_T100,314439,53601,8376,2347,608
P50_ordinary,379371,0,0,0,0
P75_notable,379371,0,0,0,0
P90_moderate,379243,128,0,0,0
illustrative_25jul2011,366280,11987,1004,98,2
