shapefile_name,store_name,layer_name,workspace,qualified_name,status,uploaded_at,wfs_url,wms_url,message
Gujranwala_buildings.shp,Gujranwala_buildings,Gujranwala_buildings,infra_portal,infra_portal:Gujranwala_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AGujranwala_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AGujranwala_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Gujrat_buildings.shp,Gujrat_buildings,Gujrat_buildings,infra_portal,infra_portal:Gujrat_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AGujrat_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AGujrat_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Gupis_Yasin_buildings.shp,Gupis_Yasin_buildings,Gupis_Yasin_buildings,infra_portal,infra_portal:Gupis_Yasin_buildings,uploaded,2026-05-11 09:57:45,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AGupis_Yasin_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AGupis_Yasin_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Gwadar_buildings.shp,Gwadar_buildings,Gwadar_buildings,infra_portal,infra_portal:Gwadar_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AGwadar_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AGwadar_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Hafizabad_buildings.shp,Hafizabad_buildings,Hafizabad_buildings,infra_portal,infra_portal:Hafizabad_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHafizabad_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHafizabad_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Hangu_buildings.shp,Hangu_buildings,Hangu_buildings,infra_portal,infra_portal:Hangu_buildings,uploaded,2026-05-11 09:57:46,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHangu_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHangu_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Haripur_buildings.shp,Haripur_buildings,Haripur_buildings,infra_portal,infra_portal:Haripur_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHaripur_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHaripur_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Harnai_buildings.shp,Harnai_buildings,Harnai_buildings,infra_portal,infra_portal:Harnai_buildings,uploaded,2026-05-05 08:57:32,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHarnai_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHarnai_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Hattian_buildings.shp,Hattian_buildings,Hattian_buildings,infra_portal,infra_portal:Hattian_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHattian_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHattian_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Haveli_buildings.shp,Haveli_buildings,Haveli_buildings,infra_portal,infra_portal:Haveli_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHaveli_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHaveli_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Hub_buildings.shp,Hub_buildings,Hub_buildings,infra_portal,infra_portal:Hub_buildings,uploaded,2026-05-11 09:57:47,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHub_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHub_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Hunza_buildings.shp,Hunza_buildings,Hunza_buildings,infra_portal,infra_portal:Hunza_buildings,uploaded,2026-05-11 09:57:47,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHunza_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHunza_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Hyderabad_buildings.shp,Hyderabad_buildings,Hyderabad_buildings,infra_portal,infra_portal:Hyderabad_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AHyderabad_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AHyderabad_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Indian_Illegally_Occupied_Jammu_Kashmir_buildings.shp,Indian_Illegally_Occupied_Jammu_Kashmir_buildings,Indian_Illegally_Occupied_Jammu_Kashmir_buildings,infra_portal,infra_portal:Indian_Illegally_Occupied_Jammu_Kashmir_buildings,uploaded,2026-05-11 09:58:19,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AIndian_Illegally_Occupied_Jammu_Kashmir_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AIndian_Illegally_Occupied_Jammu_Kashmir_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Islamabad_buildings.shp,Islamabad_buildings,Islamabad_buildings,infra_portal,infra_portal:Islamabad_buildings,uploaded,2026-05-11 09:58:22,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AIslamabad_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AIslamabad_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Jacobabad_buildings.shp,Jacobabad_buildings,Jacobabad_buildings,infra_portal,infra_portal:Jacobabad_buildings,uploaded,2026-05-11 09:58:24,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJacobabad_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJacobabad_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Jaffarabad_buildings.shp,Jaffarabad_buildings,Jaffarabad_buildings,infra_portal,infra_portal:Jaffarabad_buildings,uploaded,2026-05-11 09:58:24,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJaffarabad_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJaffarabad_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Jamshoro_buildings.shp,Jamshoro_buildings,Jamshoro_buildings,infra_portal,infra_portal:Jamshoro_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJamshoro_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJamshoro_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Jhal_Magsi_buildings.shp,Jhal_Magsi_buildings,Jhal_Magsi_buildings,infra_portal,infra_portal:Jhal_Magsi_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJhal_Magsi_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJhal_Magsi_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
